Date,Week_Until_Race,Day_of_Week,Workout_Category,Original_Description,Total_Miles,E_Pace_Miles,M_Pace_Miles,T_Pace_Miles,E_Pace_Time_min,T_Intervals_Desc,I_Intervals_Desc,R_Intervals_Desc
2025-12-11,10,Thursday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-12-12,10,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-12-13,10,Saturday,Q2,2E+12M+2E,16.0,4,12,0,0,,,
2025-12-14,10,Sunday,Easy,Easy Run,7.0,7,0,0,0,,,
2025-12-15,9,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-12-16,9,Tuesday,Q1,2E+6M+1E+4M+1T+1E,15.0,4,10,1,0,,,
2025-12-17,9,Wednesday,Easy,Easy Run,7.0,7,0,0,0,,,
2025-12-18,9,Thursday,Easy,Easy Run,7.0,7,0,0,0,,,
2025-12-19,9,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-12-20,9,Saturday,Q2,5E+3x(2T w/2 min rests)+1T+2E,14.0,7,0,7,0,"3x(2T w/2 min rests); 1T",,
2025-12-21,9,Sunday,Easy,Easy Run,7.0,7,0,0,0,,,
2025-12-22,8,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-12-23,8,Tuesday,Q1,60 min E+8M+1E,17.0,1,8,0,60,,,
2025-12-24,8,Wednesday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-12-25,8,Thursday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-12-26,8,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-12-27,8,Saturday,Q2,8E+4x(4 min I w/3 min recovery jg)+3E,14.0,11,0,0,0,,"4x(4 min I w/3 min recovery jg)",
2025-12-28,8,Sunday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-12-29,7,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-12-30,7,Tuesday,Q1,steady E run of 120-150 min,17.0,0,0,0,"120-150",,,
2025-12-31,7,Wednesday,Easy,Easy Run,5.0,5,0,0,0,,,
2026-01-01,7,Thursday,Easy,Easy Run,5.0,5,0,0,0,,,
2026-01-02,7,Friday,Rest,Rest,0.0,0,0,0,0,,,
2026-01-03,7,Saturday,Q2,2E+8M+3x(1T w/1 min recovery)+2E,15.0,4,8,3,0,"3x(1T w/1 min recovery)",,
2026-01-04,7,Sunday,Easy,Easy Run,5.0,5,0,0,0,,,
2026-01-05,6,Monday,Rest,Rest,0.0,0,0,0,0,,,
2026-01-06,6,Tuesday,Q1,2E+14M+1E,17.0,3,14,0,0,,,
2026-01-07,6,Wednesday,Easy,Easy Run,7.0,7,0,0,0,,,
2026-01-08,6,Thursday,Easy,Easy Run,6.0,6,0,0,0,,,
2026-01-09,6,Friday,Rest,Rest,0.0,0,0,0,0,,,
2026-01-10,6,Saturday,Q2,60 min E+3x(2T w/2 min rests)+1T+1E,15.0,1,0,7,60,"3x(2T w/2 min rests); 1T",,
2026-01-11,6,Sunday,Easy,Easy Run,7.0,7,0,0,0,,,
2026-01-12,5,Monday,Rest,Rest,0.0,0,0,0,0,,,
2026-01-13,5,Tuesday,Q1,2E+3T+60 min E+2T+2E,17.0,4,0,5,60,,,
2026-01-14,5,Wednesday,Easy,Easy Run,7.0,7,0,0,0,,,
2026-01-15,5,Thursday,Easy,Easy Run,6.0,6,0,0,0,,,
2026-01-16,5,Friday,Rest,Rest,0.0,0,0,0,0,,,
2026-01-17,5,Saturday,Q2,"8E+5x(3 min I w/2 min E)+4x(1 min R w/2 min jg)+3E",15.0,11,0,0,18,,"5x(3 min I w/2 min E)","4x(1 min R w/2 min jg)"
2026-01-18,5,Sunday,Easy,Easy Run,7.0,7,0,0,0,,,
2026-01-19,4,Monday,Rest,Rest,0.0,0,0,0,0,,,
2026-01-20,4,Tuesday,Q1,steady E run of 150 min,17.0,0,0,0,150,,,
2026-01-21,4,Wednesday,Easy,Easy Run,5.0,5,0,0,0,,,
2026-01-22,4,Thursday,Easy,Easy Run,5.0,5,0,0,0,,,
2026-01-23,4,Friday,Rest,Rest,0.0,0,0,0,0,,,
2026-01-24,4,Saturday,Q2,6E+5x(3 min I w/2 min E)+4E,13.0,10,0,0,10,,"5x(3 min I w/2 min E)",
2026-01-25,4,Sunday,Easy,Easy Run,5.0,5,0,0,0,,,
2026-01-26,3,Monday,Rest,Rest,0.0,0,0,0,0,,,
2026-01-27,3,Tuesday,Q1,1E+8M+1E+6M+1E,17.0,3,14,0,0,,,
2026-01-28,3,Wednesday,Easy,Easy Run,5.0,5,0,0,0,,,
2026-01-29,3,Thursday,Easy,Easy Run,5.0,5,0,0,0,,,
2026-01-30,3,Friday,Rest,Rest,0.0,0,0,0,0,,,
2026-01-31,3,Saturday,Q2,4E+2x(2T w/2 min rests)+3x(1T w/1 min rests)+2E,13.0,6,0,7,0,"2x(2T w/2 min rests); 3x(1T w/1 min rests)",,
2026-02-01,3,Sunday,Easy,Easy Run,5.0,5,0,0,0,,,
2026-02-02,2,Monday,Rest,Rest,0.0,0,0,0,0,,,
2026-02-03,2,Tuesday,Q1,1E+3x(2T w/2 min rests)+60 min E,15.0,1,0,6,60,"3x(2T w/2 min rests)",,
2026-02-04,2,Wednesday,Easy,Easy Run,4.0,4,0,0,0,,,
2026-02-05,2,Thursday,Easy,Easy Run,4.0,4,0,0,0,,,
2026-02-06,2,Friday,Rest,Rest,0.0,0,0,0,0,,,
2026-02-07,2,Saturday,Q2,4E+1T+2M+1E+1T+2M+2E,13.0,7,4,2,0,,,
2026-02-08,2,Sunday,Taper,90 min E,10.0,0,0,0,90,,,
2026-02-09,1,Monday,Taper,60 min E,8.0,0,0,0,60,,,
2026-02-10,1,Tuesday,Taper,2E+3x(1T w/2 min rests)+2E,7.0,4,0,3,0,"3x(1T w/2 min rests)",,
2026-02-11,1,Wednesday,Taper,50 min E,6.0,0,0,0,50,,,
2026-02-12,1,Thursday,Taper,30-40 min E,5.0,0,0,0,"30-40",,,
2026-02-13,1,Friday,Taper,0-20 min E,2.0,0,0,0,"0-20",,,
2026-02-14,1,Saturday,Taper,20-30 min E,3.0,0,0,0,"20-30",,,
2026-02-15,1,Sunday,Race Day,Austin Marathon,26.2,0,26.2,0,0,,,
